group;axis;value;;
2003;15;6.011.738.318;;
2004;15;6.125.744.308;;
2005;15;7.006.433.225;;
2006;15;7.108.974.359;;
2007;15;6.809.246.204;;
2008;15;6.374.669.544;;
2009;15;5.381.804.549;;
2010;15;5.460.584.316;;
2011;15;4.869.977.802;;
2012;15;4.525.611.024;;
2013;15;4.610.311.231;;
2014;15;5.061.338.512;;
2015;15;39.898.433;;
2016;15;4.361.976.709;;
1998;16;5.820.694.543;;
1999;16;5.328.534.129;;
2000;16;5.190.938.098;;
2001;16;585.895.302;;
2002;16;6.339.400.546;;
2003;16;6.178.105.418;;
2004;16;6.156.789.588;;
2005;16;6.932.068.543;;
2006;16;7.237.091.675;;
2007;16;6.833.640.054;;
2008;16;6.345.630.546;;
2009;16;5.424.632.628;;
2010;16;5.518.054.495;;
2011;16;4.851.173.709;;
2012;16;4.525.788.114;;
2013;16;4.597.328.656;;
2014;16;5.106.192.319;;
2015;16;402.249.603;;
2016;16;4.358.520.833;;
1998;17;572.335.921;;
1999;17;5.279.635.145;;
2000;17;5.220.858.506;;
2001;17;5.961.608.821;;
2002;17;6.482.609.451;;
2003;17;624.743.025;;
2004;17;6.211.586.148;;
2005;17;6.770.614.571;;
2006;17;7.263.264.593;;
2007;17;6.912.439.936;;
2008;17;6.333.926.165;;
2009;17;5.573.200.498;;
2010;17;5.560.825.525;;
2011;17;497.510.305;;
2012;17;4.600.462.725;;
2013;17;4.640.591.398;;
2014;17;5.198.601.607;;
2015;17;4.102.935.402;;
2016;17;4.341.005.636;;
1998;18;5.617.389.771;;
1999;18;535.057.259;;
2000;18;5.292.197.907;;
2001;18;6.030.571.259;;
2002;18;6.496.786.823;;
2003;18;6.210.682.819;;
2004;18;6.399.015.832;;
2005;18;6.912.520.661;;
2006;18;7.341.285.365;;
2007;18;6.912.520.194;;
2008;18;6.403.484.321;;
2009;18;5.685.675.273;;
2010;18;5.646.923.272;;
2011;18;5.132.453.971;;
2012;18;4.727.504.507;;
2013;18;4.748.348.993;;
2014;18;5.223.015.165;;
2015;18;4.110.371.654;;
2016;18;4.296.814.815;;
1998;19;5.519.076.164;;
1999;19;5.411.864.407;;
2000;19;5.418.906.102;;
2001;19;606.107.901;;
2002;19;648.091.302;;
2003;19;6.185.829.367;;
2004;19;6.630.479.452;;
2005;19;7.056.955.603;;
2006;19;7.562.007.042;;
2007;19;6.914.506.667;;
2008;19;6.551.864.678;;
2009;19;5.909.866.138;;
2010;19;5.835.303.069;;
2011;19;5.404.748.833;;
2012;19;4.919.640.103;;
2013;19;4.867.132.867;;
2014;19;523.272.673;;
2015;19;41.348.594;;
2016;19;4.319.038.177;;
1998;20;5.409.488.536;;
1999;20;5.383.419.307;;
2000;20;5.444.233.807;;
2001;20;6.041.116.667;;
2002;20;6.564.694.536;;
2003;20;6.321.133.455;;
2004;20;6.782.843.763;;
2005;20;751.172.208;;
2006;20;7.443.499.649;;
2007;20;7.061.153.948;;
2008;20;6.741.668.881;;
2009;20;5.848.301.329;;
2010;20;6.096.185.906;;
2011;20;5.567.290.749;;
2012;20;5.037.084.728;;
2013;20;4.938.440.932;;
2014;20;5.361.581.921;;
2015;20;4.245.113.636;;
2016;20;4.382.820.741;;
1998;21;5.457.566.138;;
1999;21;546.495.758;;
2000;21;5.652.820.025;;
2001;21;610.620.415;;
2002;21;6.665.592.015;;
